title,author,length
Grizzly Killer: Spirit of the Mountain,Lane R. Warenski,Length: 7 hrs and 56 mins
Witching with Sharks,Lily Harper Hart,Length: 7 hrs and 25 mins
Unscripted,"James B. Stewart,Rachel Abrams",Length: 12 hrs and 23 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Pentagon's Brain,Annie Jacobsen,Length: 18 hrs and 22 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Let's Pretend This Never Happened,Jenny Lawson,Length: 8 hrs and 41 mins
"The Chronicles of Prydain, Books 1 & 2",Lloyd Alexander,Length: 10 hrs and 29 mins
All the Light We Cannot See,Anthony Doerr,Length: 16 hrs and 2 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Principles,Ray Dalio,Length: 16 hrs and 5 mins
Seabreeze Reunion,Jan Moran,Length: 6 hrs and 38 mins
Dashing Devil,G. D. Brooks,Length: 10 hrs and 15 mins
The Ghost and the New Neighbor,"Bobbi Holmes,Anna J. McIntyre",Length: 9 hrs and 6 mins
Sea Castle,Andrew Mayne,Length: 7 hrs and 57 mins
The Essential Guide to Health Anxiety,Dennis Simsek,Length: 9 hrs and 49 mins
The Fine Print,Lauren Asher,Length: 11 hrs and 8 mins
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
One Second After,William R. Forstchen,Length: 13 hrs and 17 mins
Mastery,Robert Greene,Length: 16 hrs and 9 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
Tutankhamun and the Tomb That Changed the World,Bob Brier PhD,Length: 10 hrs and 15 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
Last Argument of Kings,Joe Abercrombie,Length: 27 hrs and 4 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
The Abandoned Chase,Cap Daniels,Length: 8 hrs and 15 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 44 mins
Monster Acadamia 2,D. Levesque,Length: 8 hrs and 19 mins
The Empire,Ivan Kal,Length: 35 hrs and 5 mins
The Power to Change,Craig Groeschel,Length: 5 hrs and 42 mins
The Emotional Lives of Teenagers,Lisa Damour Ph.D.,Length: 6 hrs and 15 mins
Focus,Daniel Goleman,Length: 8 hrs and 8 mins
"Stocks for the Long Run, 6th Edition",Jeremy J. Siegel,Length: 13 hrs and 41 mins
Fierce Queen,Sadie Kincaid,Length: 7 hrs and 51 mins
Opening Closed-Guard,Robert Drysdale,Length: 13 hrs and 21 mins
